GeneID	Ensembl_protein_identifier
56424	ENSMUSP00000040431.9
56424	-
56424	-
56426	ENSMUSP00000125752.2
56427	ENSMUSP00000020821.4
56427	ENSMUSP00000103665.3
56427	ENSMUSP00000130909.3
56427	ENSMUSP00000064383.7
56428	ENSMUSP00000118566.2
56428	ENSMUSP00000107092.4
56428	ENSMUSP00000121851.2
56428	-
56429	ENSMUSP00000027861.5
56430	ENSMUSP00000107190.2
56430	ENSMUSP00000068241.6
56430	ENSMUSP00000121425.2
56430	ENSMUSP00000107192.3
56430	ENSMUSP00000031382.8
56430	ENSMUSP00000107186.2
56431	ENSMUSP00000099461.4
56433	ENSMUSP00000113525.2
56433	ENSMUSP00000121020.2
56434	ENSMUSP00000034876.9
56436	ENSMUSP00000050076.5
56437	ENSMUSP00000034351.7
56438	ENSMUSP00000023036.6
56440	ENSMUSP00000034946.9
56441	ENSMUSP00000091300.5
56442	ENSMUSP00000020027.5
56443	ENSMUSP00000031625.9
56444	ENSMUSP00000021479.6
56445	ENSMUSP00000034138.6
56447	ENSMUSP00000155674.2
56447	ENSMUSP00000097738.4
56448	ENSMUSP00000023083.8
56449	ENSMUSP00000085172.3
56449	ENSMUSP00000032309.7
56451	ENSMUSP00000065113.7
56452	ENSMUSP00000126925.2
56452	ENSMUSP00000034132.6
56453	ENSMUSP00000080117.5
56453	ENSMUSP00000095965.4
56454	ENSMUSP00000025979.7
56454	ENSMUSP00000135426.2
56455	ENSMUSP00000009157.4
56456	ENSMUSP00000029214.8
56457	ENSMUSP00000051293.10
56458	ENSMUSP00000055308.6
56459	ENSMUSP00000147409.2
56459	ENSMUSP00000147771.2
56459	ENSMUSP00000092409.4
56460	ENSMUSP00000101654.3
56460	ENSMUSP00000069961.5
56461	ENSMUSP00000085896.6
56461	ENSMUSP00000028850.9
56461	ENSMUSP00000099504.5
56461	ENSMUSP00000159973.1
56462	ENSMUSP00000113021.2
56462	ENSMUSP00000157010.2
56462	ENSMUSP00000157094.2
56462	ENSMUSP00000093077.5
56462	ENSMUSP00000115027.3
56462	ENSMUSP00000157218.2
56463	ENSMUSP00000001460.7
56463	ENSMUSP00000128737.2
56464	ENSMUSP00000112481.2
56468	ENSMUSP00000038591.7
56469	ENSMUSP00000096248.5
56470	ENSMUSP00000104408.2
56470	ENSMUSP00000104406.2
56470	ENSMUSP00000104403.2
56470	ENSMUSP00000104402.2
56470	ENSMUSP00000104400.2
56470	ENSMUSP00000002532.3
56471	ENSMUSP00000113759.2
56471	ENSMUSP00000113629.2
56471	ENSMUSP00000113788.2
56471	ENSMUSP00000074113.7
56473	ENSMUSP00000025567.8
56480	ENSMUSP00000020316.3
56484	ENSMUSP00000101141.2
56484	ENSMUSP00000050683.4
56485	ENSMUSP00000030826.3
56486	ENSMUSP00000018711.9
56488	ENSMUSP00000105587.2
56488	ENSMUSP00000038329.4
56489	ENSMUSP00000054126.4
56489	ENSMUSP00000124190.2
56490	ENSMUSP00000110342.3
56490	ENSMUSP00000078410.7
56490	ENSMUSP00000110339.2
56491	ENSMUSP00000064699.5
56492	ENSMUSP00000108503.3
56492	ENSMUSP00000115782.2
56492	ENSMUSP00000117382.2
56492	ENSMUSP00000035048.6
56494	ENSMUSP00000102627.3
56494	ENSMUSP00000021329.8
56495	ENSMUSP00000065337.9
56496	ENSMUSP00000084838.6
56501	ENSMUSP00000110608.2
56501	ENSMUSP00000033429.3
56503	ENSMUSP00000149874.2
56503	ENSMUSP00000151079.2
56504	ENSMUSP00000002081.6
56505	ENSMUSP00000032165.10
56506	ENSMUSP00000038527.7
56508	ENSMUSP00000088336.6
56508	ENSMUSP00000028525.6
56508	ENSMUSP00000099759.4
56508	-
56513	ENSMUSP00000148603.2
56513	ENSMUSP00000096043.3
56513	ENSMUSP00000148821.2
56513	ENSMUSP00000090886.7
56515	ENSMUSP00000157123.2
56515	ENSMUSP00000072626.6
56515	ENSMUSP00000157047.2
56515	ENSMUSP00000157102.2
56516	ENSMUSP00000096742.2
56516	ENSMUSP00000089664.3
56517	ENSMUSP00000075814.5
56519	ENSMUSP00000079808.3
56520	ENSMUSP00000025007.6
56520	ENSMUSP00000157943.2
56522	ENSMUSP00000100595.2
56523	ENSMUSP00000034162.7
56524	ENSMUSP00000038772.9
56524	ENSMUSP00000125880.2
56524	ENSMUSP00000144737.2
56524	ENSMUSP00000039314.9
56525	ENSMUSP00000050803.8
56526	ENSMUSP00000110894.4
56526	ENSMUSP00000054034.5
56526	ENSMUSP00000062014.8
56527	ENSMUSP00000105363.3
56529	ENSMUSP00000113601.2
56529	ENSMUSP00000026818.6
56530	ENSMUSP00000151918.2
56530	ENSMUSP00000026446.3
56531	ENSMUSP00000128962.2
56531	ENSMUSP00000021670.9
56532	ENSMUSP00000137278.2
56532	ENSMUSP00000126306.2
56532	ENSMUSP00000022830.7
56533	ENSMUSP00000065825.8
56533	ENSMUSP00000116291.2
56534	ENSMUSP00000054193.5
56535	ENSMUSP00000128512.2
56535	ENSMUSP00000101178.2
56535	ENSMUSP00000019945.9
56538	ENSMUSP00000079101.6
56538	ENSMUSP00000132721.2
56541	ENSMUSP00000021929.9
56542	ENSMUSP00000112961.2
56542	ENSMUSP00000048234.8
56543	ENSMUSP00000096357.4
56543	ENSMUSP00000078169.5
56544	ENSMUSP00000029406.5
56546	ENSMUSP00000045229.7
56550	ENSMUSP00000132446.2
56551	ENSMUSP00000005487.6
56552	ENSMUSP00000032238.4
56554	ENSMUSP00000093471.4
56554	ENSMUSP00000138328.2
56612	ENSMUSP00000129178.2
56613	ENSMUSP00000159422.2
56615	ENSMUSP00000112923.2
56615	ENSMUSP00000112646.2
56615	ENSMUSP00000113257.2
56615	ENSMUSP00000113859.2
56615	ENSMUSP00000008684.5
56615	-
56619	ENSMUSP00000032239.5
56620	ENSMUSP00000113733.2
56620	ENSMUSP00000108173.3
56620	ENSMUSP00000024118.5
56622	ENSMUSP00000008582.4
56626	ENSMUSP00000026239.7
56629	ENSMUSP00000029836.5
56629	ENSMUSP00000142872.2
56631	ENSMUSP00000074639.7
56632	ENSMUSP00000147391.2
56632	ENSMUSP00000072615.5
56632	ENSMUSP00000103366.3
56635	ENSMUSP00000023602.6
56636	ENSMUSP00000033099.5
56637	ENSMUSP00000110398.2
56637	ENSMUSP00000023507.7
56640	ENSMUSP00000007161.6
56642	ENSMUSP00000026172.3
56643	ENSMUSP00000085728.7
56644	ENSMUSP00000139167.2
56644	-
56690	ENSMUSP00000095970.5
56691	ENSMUSP00000056592.5
56692	ENSMUSP00000130811.2
56693	ENSMUSP00000081941.5
56695	ENSMUSP00000027370.7
56695	ENSMUSP00000084477.6
56695	ENSMUSP00000109436.2
56696	ENSMUSP00000021729.8
56697	ENSMUSP00000099710.4
56698	ENSMUSP00000122948.2
56698	ENSMUSP00000008445.6
56699	ENSMUSP00000060227.5
56699	ENSMUSP00000102227.2
56700	ENSMUSP00000135398.2
56702	ENSMUSP00000079356.3
56703	ENSMUSP00000069749.6
56703	ENSMUSP00000095713.4
56705	ENSMUSP00000152620.2
56705	ENSMUSP00000130636.2
56706	ENSMUSP00000029416.8
56706	-
56707	ENSMUSP00000129484.2
56707	ENSMUSP00000083169.6
56708	ENSMUSP00000045562.7
56709	ENSMUSP00000116577.2
56709	ENSMUSP00000020309.7
56709	ENSMUSP00000122056.2
56710	ENSMUSP00000030036.6
56711	ENSMUSP00000003369.4
56715	ENSMUSP00000114103.2
56715	ENSMUSP00000026390.8
56716	ENSMUSP00000157301.2
56716	ENSMUSP00000136287.2
56716	ENSMUSP00000157225.2
56716	ENSMUSP00000065004.7
56717	ENSMUSP00000099510.4
56720	ENSMUSP00000029645.9
56722	ENSMUSP00000023143.8
56722	ENSMUSP00000112667.2
56724	ENSMUSP00000024959.4
56726	ENSMUSP00000033598.9
56727	ENSMUSP00000023282.3
56734	ENSMUSP00000103391.2
56734	ENSMUSP00000147596.2
56734	ENSMUSP00000082438.6
56734	ENSMUSP00000103388.2
56734	ENSMUSP00000024233.7
56734	ENSMUSP00000147710.2
56734	ENSMUSP00000103387.4
56735	ENSMUSP00000023710.4
56736	ENSMUSP00000126205.2
56736	ENSMUSP00000133070.2
56736	ENSMUSP00000157833.2
56736	ENSMUSP00000072212.6
56737	ENSMUSP00000043580.3
56738	ENSMUSP00000133694.2
56738	ENSMUSP00000024797.10
56739	ENSMUSP00000002395.8
56741	ENSMUSP00000045387.4
56741	ENSMUSP00000150272.2
56742	ENSMUSP00000099689.2
56742	ENSMUSP00000088049.4
56743	ENSMUSP00000046900.7
56743	ENSMUSP00000076824.5
56743	ENSMUSP00000143977.2
56744	ENSMUSP00000031320.7
56745	ENSMUSP00000017590.3
56745	ENSMUSP00000101893.2
56746	ENSMUSP00000077150.6
56747	ENSMUSP00000078454.8
56747	ENSMUSP00000143395.2
56747	ENSMUSP00000148791.2
56747	ENSMUSP00000148806.2
56747	ENSMUSP00000074847.7
56748	ENSMUSP00000032060.9
56748	ENSMUSP00000113332.3
56748	ENSMUSP00000113637.3
56749	ENSMUSP00000115934.2
56752	ENSMUSP00000028004.10
56753	ENSMUSP00000060099.5
56758	ENSMUSP00000142095.2
56758	ENSMUSP00000142057.2
56758	ENSMUSP00000141576.2
56758	ENSMUSP00000141915.2
56758	ENSMUSP00000141474.2
56758	ENSMUSP00000096686.3
56758	ENSMUSP00000141536.2
56758	ENSMUSP00000141287.2
56758	ENSMUSP00000141954.2
56758	ENSMUSP00000142088.2
56760	ENSMUSP00000107712.3
56760	ENSMUSP00000107710.3
56760	ENSMUSP00000032262.8
56771	-
56771	ENSMUSP00000024778.3
56772	ENSMUSP00000143755.2
56772	ENSMUSP00000066448.6
56773	ENSMUSP00000034430.5
56774	ENSMUSP00000033414.8
56784	ENSMUSP00000082503.6
56784	ENSMUSP00000151498.2
56784	ENSMUSP00000154749.2
56784	ENSMUSP00000151857.2
56786	ENSMUSP00000033333.7
56787	ENSMUSP00000037702.2
56788	ENSMUSP00000102340.2
56790	ENSMUSP00000143750.2
56790	ENSMUSP00000143059.2
56790	ENSMUSP00000142948.2
56790	ENSMUSP00000131454.2
56791	ENSMUSP00000099702.3
56792	ENSMUSP00000031171.9
56792	ENSMUSP00000143251.2
56794	ENSMUSP00000022437.9
56795	ENSMUSP00000116506.2
56795	ENSMUSP00000026988.5
56802	-
56805	ENSMUSP00000110795.3
56805	ENSMUSP00000049983.3
56807	ENSMUSP00000150867.2
56807	ENSMUSP00000035898.7
56808	ENSMUSP00000132512.2
56808	ENSMUSP00000125943.2
56808	ENSMUSP00000010210.7
56808	ENSMUSP00000082173.6
56808	ENSMUSP00000126029.2
56809	ENSMUSP00000101585.2
56809	ENSMUSP00000101584.2
56809	ENSMUSP00000030733.3
56809	ENSMUSP00000131331.2
56811	ENSMUSP00000029665.6
56812	ENSMUSP00000140566.2
56812	ENSMUSP00000140588.2
56812	ENSMUSP00000080796.7
56812	ENSMUSP00000140637.2
56812	ENSMUSP00000140634.2
56812	ENSMUSP00000052520.8
56835	ENSMUSP00000021889.5
56838	ENSMUSP00000096847.3
56839	ENSMUSP00000143128.2
56839	-
56843	ENSMUSP00000009390.4
56843	ENSMUSP00000114302.2
56843	-
56844	ENSMUSP00000137399.2
56844	ENSMUSP00000056582.4
56844	ENSMUSP00000101540.2
56844	ENSMUSP00000146914.2
56846	ENSMUSP00000105338.3
56846	ENSMUSP00000000895.7
56847	ENSMUSP00000015278.8
56856	ENSMUSP00000061046.4
56857	ENSMUSP00000124569.2
56857	ENSMUSP00000110720.3
56858	ENSMUSP00000074242.4
56860	ENSMUSP00000061272.5
56861	ENSMUSP00000149301.2
56863	ENSMUSP00000093236.5
56868	ENSMUSP00000056586.7
56869	ENSMUSP00000045498.7
56869	ENSMUSP00000146043.2
56872	ENSMUSP00000034610.3
56873	ENSMUSP00000058405.5
56873	ENSMUSP00000142755.2
56873	ENSMUSP00000143348.2
56874	ENSMUSP00000001247.6
56874	ENSMUSP00000124657.2
56874	-
56874	ENSMUSP00000123952.2
56876	ENSMUSP00000097908.5
56876	ENSMUSP00000006646.9
56876	ENSMUSP00000110030.2
56876	ENSMUSP00000074022.8
56876	-
56876	ENSMUSP00000099995.5
56876	ENSMUSP00000110028.2
56878	ENSMUSP00000131306.2
56878	ENSMUSP00000028347.7
57014	ENSMUSP00000008734.5
57028	ENSMUSP00000086796.5
57080	ENSMUSP00000098217.4
57080	ENSMUSP00000098215.4
57080	ENSMUSP00000129392.3
57080	ENSMUSP00000106875.2
57080	ENSMUSP00000106876.3
57080	ENSMUSP00000073752.6
57080	ENSMUSP00000098219.4
57080	ENSMUSP00000143848.2
57080	ENSMUSP00000143897.2
57080	ENSMUSP00000143809.2
57080	ENSMUSP00000072904.6
57138	ENSMUSP00000144623.2
57138	ENSMUSP00000143870.2
57138	ENSMUSP00000096690.5
57170	ENSMUSP00000119478.3
57170	ENSMUSP00000109242.4
57170	ENSMUSP00000028209.9
57170	-
57230	ENSMUSP00000114844.2
57246	ENSMUSP00000126318.3
57246	ENSMUSP00000052591.5
57247	ENSMUSP00000001092.9
57247	-
57248	ENSMUSP00000129867.2
57248	ENSMUSP00000023250.5
57249	ENSMUSP00000110200.2
57249	ENSMUSP00000033711.6
57250	ENSMUSP00000095776.3
57251	ENSMUSP00000091405.2
57252	ENSMUSP00000058006.5
57253	ENSMUSP00000044089.6
57254	ENSMUSP00000050277.3
57255	ENSMUSP00000008987.5
57256	ENSMUSP00000024928.4
57257	ENSMUSP00000036270.8
57257	ENSMUSP00000102186.3
57258	ENSMUSP00000133280.2
57259	ENSMUSP00000061390.8
57260	ENSMUSP00000048358.5
57261	ENSMUSP00000003726.9
57261	ENSMUSP00000113070.2
57261	ENSMUSP00000112474.3
57262	ENSMUSP00000159097.2
57263	ENSMUSP00000023328.7
57264	ENSMUSP00000012849.9
57264	ENSMUSP00000133024.3
57265	ENSMUSP00000091463.5
57266	ENSMUSP00000021970.10
57267	ENSMUSP00000050995.9
57267	ENSMUSP00000151985.2
57269	ENSMUSP00000146152.4
57269	ENSMUSP00000073260.6
57270	ENSMUSP00000145649.2
57271	ENSMUSP00000046688.3
57272	ENSMUSP00000097346.2
57274	ENSMUSP00000040522.4
57275	ENSMUSP00000052968.5
57276	ENSMUSP00000002008.6
57277	ENSMUSP00000141013.2
57278	ENSMUSP00000003061.8
57279	ENSMUSP00000035222.6
57294	ENSMUSP00000132102.3
57294	-
57295	ENSMUSP00000043390.8
57295	-
57296	ENSMUSP00000139514.2
57312	ENSMUSP00000033934.4
57314	ENSMUSP00000104703.2
57315	ENSMUSP00000025170.10
57316	ENSMUSP00000121134.2
57316	ENSMUSP00000000594.3
57317	ENSMUSP00000061474.4
57319	ENSMUSP00000020022.8
57320	ENSMUSP00000030805.8
57321	ENSMUSP00000052170.9
57329	ENSMUSP00000028902.3
57330	ENSMUSP00000031727.8
57339	ENSMUSP00000039072.5
57340	ENSMUSP00000026357.6
57342	ENSMUSP00000033030.8
57342	ENSMUSP00000102251.2
57344	ENSMUSP00000003655.8
57349	ENSMUSP00000031319.7
57354	ENSMUSP00000156906.2
57354	ENSMUSP00000073060.7
57355	ENSMUSP00000102346.3
57355	ENSMUSP00000033334.5
57357	ENSMUSP00000031143.7
57357	ENSMUSP00000109134.2
57370	ENSMUSP00000066353.4
57373	ENSMUSP00000033335.6
57376	ENSMUSP00000099422.4
57377	ENSMUSP00000032114.8
57385	ENSMUSP00000055869.2
57390	ENSMUSP00000025273.9
57394	ENSMUSP00000015545.4
57423	ENSMUSP00000125504.2
57425	ENSMUSP00000159852.1
57426	ENSMUSP00000079468.3
57429	ENSMUSP00000000755.8
57429	ENSMUSP00000122415.2
57429	ENSMUSP00000123501.2
57430	ENSMUSP00000151228.2
57431	ENSMUSP00000025915.7
57431	ENSMUSP00000136062.2
57432	ENSMUSP00000028866.9
57434	ENSMUSP00000030773.8
57435	ENSMUSP00000158677.2
57435	ENSMUSP00000139859.2
57436	ENSMUSP00000032264.7
57437	ENSMUSP00000062983.7
57437	ENSMUSP00000112935.2
57438	ENSMUSP00000099808.2
57438	ENSMUSP00000099809.5
57439	ENSMUSP00000046786.5
57440	ENSMUSP00000024860.8
57441	ENSMUSP00000106011.3
57441	ENSMUSP00000135823.2
57442	ENSMUSP00000136616.2
57442	ENSMUSP00000130019.3
57442	ENSMUSP00000147047.2
57442	ENSMUSP00000147151.2
57442	ENSMUSP00000136415.2
57442	ENSMUSP00000039353.6
57443	ENSMUSP00000106765.2
57443	ENSMUSP00000106766.2
57443	ENSMUSP00000099625.4
57443	ENSMUSP00000028603.4
57443	-
57444	ENSMUSP00000113255.2
57444	ENSMUSP00000112621.2
57444	ENSMUSP00000112480.2
57444	ENSMUSP00000040080.9
57737	ENSMUSP00000094197.5
57738	ENSMUSP00000132029.3
57738	ENSMUSP00000023616.4
57740	ENSMUSP00000126638.2
57740	ENSMUSP00000016125.6
57741	ENSMUSP00000137253.2
57742	-
57743	ENSMUSP00000141333.2
57743	ENSMUSP00000100046.4
57745	ENSMUSP00000150734.2
57745	ENSMUSP00000113031.2
57745	ENSMUSP00000005413.4
57746	ENSMUSP00000047385.5
57748	ENSMUSP00000070339.8
57749	ENSMUSP00000083222.4
57749	ENSMUSP00000142386.2
57750	ENSMUSP00000113494.2
57750	ENSMUSP00000113148.2
57750	ENSMUSP00000027173.9
57751	ENSMUSP00000109350.2
57751	ENSMUSP00000027357.6
57752	ENSMUSP00000081561.5
57752	ENSMUSP00000146848.2
57752	ENSMUSP00000033141.7
57752	ENSMUSP00000061242.8
57752	ENSMUSP00000146840.2
57752	ENSMUSP00000147054.2
57753	ENSMUSP00000025963.8
57754	ENSMUSP00000123334.2
57754	ENSMUSP00000118591.2
57755	ENSMUSP00000100712.3
57756	ENSMUSP00000103839.2
57756	ENSMUSP00000029922.8
57757	ENSMUSP00000158365.2
57757	ENSMUSP00000110099.3
57757	ENSMUSP00000157771.2
57757	ENSMUSP00000157711.2
57757	ENSMUSP00000129964.2
57764	ENSMUSP00000020204.5
57765	ENSMUSP00000001484.3
57773	ENSMUSP00000126061.2
57775	ENSMUSP00000143769.3
57775	-
57775	-
57775	ENSMUSP00000143267.3
57776	ENSMUSP00000078384.6
57776	ENSMUSP00000113937.2
57776	ENSMUSP00000120182.2
57776	ENSMUSP00000146131.2
57778	ENSMUSP00000046296.6
57778	ENSMUSP00000151439.2
57778	ENSMUSP00000102642.3
57780	ENSMUSP00000073555.5
57781	ENSMUSP00000053822.9
57782	ENSMUSP00000059273.5
57782	ENSMUSP00000128731.2
57783	ENSMUSP00000099792.2
57783	ENSMUSP00000104514.2
57783	ENSMUSP00000104513.2
57783	ENSMUSP00000099791.3
57783	ENSMUSP00000018482.7
57783	ENSMUSP00000104517.4
57784	ENSMUSP00000022680.8
57785	-
57785	ENSMUSP00000038485.5
57808	ENSMUSP00000110731.2
57808	ENSMUSP00000077857.6
57808	ENSMUSP00000110730.2
57810	ENSMUSP00000045547.6
57810	ENSMUSP00000113977.2
57810	ENSMUSP00000117499.2
57811	ENSMUSP00000022338.6
57813	ENSMUSP00000053616.6
57813	-
57813	ENSMUSP00000148642.2
57814	ENSMUSP00000055415.7
57815	ENSMUSP00000103747.4
57815	ENSMUSP00000143349.2
57815	ENSMUSP00000029277.9
57816	ENSMUSP00000031304.8
57816	-
57837	ENSMUSP00000021183.4
57869	ENSMUSP00000123563.2
57874	ENSMUSP00000044955.6
57875	ENSMUSP00000002360.10
57890	ENSMUSP00000054378.5
57890	ENSMUSP00000098626.2
57890	ENSMUSP00000145345.2
57890	ENSMUSP00000145384.2
57890	ENSMUSP00000062103.8
57895	ENSMUSP00000110135.2
57895	ENSMUSP00000058077.8
57896	ENSMUSP00000145416.2
57896	ENSMUSP00000130252.2
57905	ENSMUSP00000086923.5
57908	ENSMUSP00000116544.2
57908	ENSMUSP00000109109.2
57911	ENSMUSP00000017348.3
57912	ENSMUSP00000102819.3
57912	ENSMUSP00000052986.6
57913	-
57913	-
57913	ENSMUSP00000026580.6
57913	-
57914	ENSMUSP00000143641.2
57914	ENSMUSP00000036326.8
57914	ENSMUSP00000142982.2
57915	ENSMUSP00000113643.2
57915	ENSMUSP00000044577.7
57915	ENSMUSP00000098756.3
57915	ENSMUSP00000112493.2
57915	-
57916	ENSMUSP00000010286.2
58170	ENSMUSP00000029641.4
58170	ENSMUSP00000103364.2
58172	ENSMUSP00000105215.3
58172	ENSMUSP00000090981.5
58172	ENSMUSP00000105214.2
58175	ENSMUSP00000113398.2
58175	ENSMUSP00000113324.2
58175	ENSMUSP00000002533.9
58176	ENSMUSP00000130767.2
58178	ENSMUSP00000147463.2
58178	ENSMUSP00000148254.2
58178	ENSMUSP00000147591.2
58179	ENSMUSP00000071147.6
58180	ENSMUSP00000087656.6
58181	ENSMUSP00000141088.2
58181	ENSMUSP00000027673.5
58182	ENSMUSP00000144999.2
58182	ENSMUSP00000059034.8
58184	ENSMUSP00000084466.6
58185	ENSMUSP00000020970.8
58186	ENSMUSP00000070619.6
58186	ENSMUSP00000108807.2
58186	ENSMUSP00000076341.5
58186	ENSMUSP00000108805.2
58187	ENSMUSP00000071476.7
58187	ENSMUSP00000097889.4
58187	ENSMUSP00000041616.6
58188	ENSMUSP00000044002.10
58188	ENSMUSP00000146231.2
58193	ENSMUSP00000102111.2
58193	ENSMUSP00000102110.2
58193	ENSMUSP00000029575.6
58194	ENSMUSP00000108075.3
58194	ENSMUSP00000108070.2
58194	-
58194	ENSMUSP00000072840.4
58194	ENSMUSP00000079257.7
58194	ENSMUSP00000117618.2
58198	ENSMUSP00000034090.7
58200	ENSMUSP00000023133.7
58202	-
58202	ENSMUSP00000057731.10
58203	ENSMUSP00000104744.3
58203	ENSMUSP00000029018.8
58205	ENSMUSP00000108195.3
58206	ENSMUSP00000103786.3
58206	-
58207	ENSMUSP00000088227.6
58208	ENSMUSP00000068258.5
58208	ENSMUSP00000105513.2
58208	ENSMUSP00000105517.3
58210	ENSMUSP00000125965.2
58210	ENSMUSP00000116010.2
58210	ENSMUSP00000045748.6
58210	ENSMUSP00000080217.3
58212	ENSMUSP00000115695.2
58212	ENSMUSP00000013615.8
58213	-
58214	ENSMUSP00000043520.3
58217	ENSMUSP00000108877.4
58217	ENSMUSP00000038636.7
58218	ENSMUSP00000044478.6
58220	ENSMUSP00000052619.7
58222	ENSMUSP00000065016.5
58222	ENSMUSP00000021076.6
58223	ENSMUSP00000151437.2
58223	ENSMUSP00000026411.7
58226	ENSMUSP00000123741.3
58226	ENSMUSP00000125541.2
58226	ENSMUSP00000159917.1
58227	ENSMUSP00000016023.8
58229	ENSMUSP00000138649.2
58229	ENSMUSP00000032132.9
58230	ENSMUSP00000024817.8
58231	ENSMUSP00000018353.8
58233	ENSMUSP00000070413.8
58234	ENSMUSP00000104932.3
58235	ENSMUSP00000034510.8
58237	ENSMUSP00000104501.3
58237	ENSMUSP00000099342.4
58237	ENSMUSP00000116965.2
58238	ENSMUSP00000146473.4
58239	ENSMUSP00000047676.6
58240	ENSMUSP00000020927.9
58242	ENSMUSP00000100072.4
58243	ENSMUSP00000062780.4
58244	ENSMUSP00000027743.8
58244	ENSMUSP00000141976.2
58245	ENSMUSP00000022728.3
58246	ENSMUSP00000019143.9
58248	ENSMUSP00000047702.7
58249	ENSMUSP00000025847.6
58249	ENSMUSP00000153409.2
58250	ENSMUSP00000045349.8
58251	ENSMUSP00000099313.4
58251	ENSMUSP00000128122.2
58518	ENSMUSP00000021890.5
58520	ENSMUSP00000021676.6
58521	ENSMUSP00000129413.3
58522	ENSMUSP00000013771.9
58523	ENSMUSP00000157109.2
58799	ENSMUSP00000013882.8
58799	ENSMUSP00000108865.4
58800	ENSMUSP00000028843.6
58800	ENSMUSP00000099513.4
58801	ENSMUSP00000025399.8
58802	ENSMUSP00000065384.5
58803	ENSMUSP00000025647.6
58804	ENSMUSP00000092508.5
58805	ENSMUSP00000005507.4
58805	-
58805	-
58805	-
58805	-
58807	ENSMUSP00000032362.10
58807	-
58809	ENSMUSP00000022428.6
58809	ENSMUSP00000127274.2
58810	ENSMUSP00000030455.9
58859	ENSMUSP00000064719.8
58859	ENSMUSP00000158440.2
58859	ENSMUSP00000133016.2
58859	ENSMUSP00000128827.3
58860	ENSMUSP00000022641.8
58861	ENSMUSP00000063520.4
58861	ENSMUSP00000109108.2
58864	ENSMUSP00000000421.6
58865	ENSMUSP00000022522.9
58866	ENSMUSP00000071206.6
58866	ENSMUSP00000034609.5
58867	ENSMUSP00000113955.2
58867	ENSMUSP00000047035.8
58869	ENSMUSP00000103861.2
58869	ENSMUSP00000103856.2
58869	ENSMUSP00000103859.2
58869	ENSMUSP00000141454.2
58869	ENSMUSP00000141387.2
58869	ENSMUSP00000142008.2
58875	ENSMUSP00000031788.9
58887	ENSMUSP00000113548.3
58887	ENSMUSP00000118890.3
58887	ENSMUSP00000132365.2
58894	-
58909	ENSMUSP00000087304.6
58911	ENSMUSP00000032191.10
58916	ENSMUSP00000025349.6
58916	ENSMUSP00000111160.2
58988	ENSMUSP00000025749.8
58988	-
58988	-
58988	-
58991	ENSMUSP00000145096.2
58991	ENSMUSP00000145366.2
58991	ENSMUSP00000145514.2
58991	ENSMUSP00000145281.2
58991	ENSMUSP00000069567.6
58991	-
58992	ENSMUSP00000021948.9
58994	ENSMUSP00000069255.8
58994	ENSMUSP00000148282.2
58996	ENSMUSP00000103227.2
58996	ENSMUSP00000112999.2
58998	ENSMUSP00000023334.9
58998	ENSMUSP00000023335.7
58998	ENSMUSP00000093757.3
59001	ENSMUSP00000030091.4
59002	ENSMUSP00000030895.6
59003	ENSMUSP00000110093.4
59004	ENSMUSP00000005064.8
59005	ENSMUSP00000015157.9
59006	ENSMUSP00000029761.8
59007	ENSMUSP00000152998.2
59007	ENSMUSP00000022310.7
59008	ENSMUSP00000142922.2
59008	ENSMUSP00000142579.2
59008	ENSMUSP00000142429.2
59008	ENSMUSP00000142341.2
59008	ENSMUSP00000143053.2
59008	ENSMUSP00000083393.5
59009	ENSMUSP00000034060.6
59009	ENSMUSP00000148118.2
59010	ENSMUSP00000005953.5
59010	ENSMUSP00000106133.3
59011	ENSMUSP00000087955.7
59012	ENSMUSP00000093460.3
59013	ENSMUSP00000076989.8
59013	ENSMUSP00000104770.2
59013	ENSMUSP00000070503.8
59014	ENSMUSP00000071955.8
59015	ENSMUSP00000059289.7
59016	ENSMUSP00000048994.8
59020	ENSMUSP00000102685.2
59020	ENSMUSP00000102684.2
59020	ENSMUSP00000058936.8
59021	ENSMUSP00000057664.8
59022	ENSMUSP00000015236.4
59024	ENSMUSP00000085260.5
59025	ENSMUSP00000112368.2
59025	ENSMUSP00000089728.7
59026	ENSMUSP00000026292.9
59027	ENSMUSP00000020886.8
59028	ENSMUSP00000067579.6
59029	ENSMUSP00000028278.8
59030	ENSMUSP00000028730.7
59030	ENSMUSP00000105716.3
59031	ENSMUSP00000041663.9
59032	ENSMUSP00000021410.9
59033	ENSMUSP00000125090.2
59033	ENSMUSP00000023776.7
59035	ENSMUSP00000034703.9
59035	ENSMUSP00000111053.4
59036	ENSMUSP00000117169.2
59036	ENSMUSP00000058943.6
59038	ENSMUSP00000105325.3
59038	ENSMUSP00000000896.5
59040	ENSMUSP00000017831.9
59040	ENSMUSP00000057669.10
59040	ENSMUSP00000076664.8
59040	ENSMUSP00000117941.2
59040	ENSMUSP00000090533.7
59041	ENSMUSP00000027498.8
59042	ENSMUSP00000071078.8
59043	ENSMUSP00000031309.10
59044	ENSMUSP00000056345.8
59044	ENSMUSP00000158797.2
59044	ENSMUSP00000099837.5
59045	ENSMUSP00000018311.5
59045	-
59046	ENSMUSP00000132350.2
59046	ENSMUSP00000131597.2
59046	ENSMUSP00000131987.2
59046	ENSMUSP00000007800.8
