GeneID	Ensembl_protein_identifier
11554	ENSMUSP00000040847.5
11555	ENSMUSP00000062256.4
11556	ENSMUSP00000080162.4
11556	ENSMUSP00000113006.2
11564	ENSMUSP00000023043.3
11565	ENSMUSP00000021726.7
11566	ENSMUSP00000016105.9
11567	ENSMUSP00000026500.6
11568	ENSMUSP00000099987.4
11569	ENSMUSP00000084896.5
11569	ENSMUSP00000125479.2
11569	ENSMUSP00000124148.2
11569	ENSMUSP00000092993.6
11569	ENSMUSP00000032359.9
11569	ENSMUSP00000123897.4
11571	ENSMUSP00000026498.5
11572	ENSMUSP00000026499.6
11576	ENSMUSP00000041006.4
11593	ENSMUSP00000033920.5
11593	ENSMUSP00000148133.2
11595	ENSMUSP00000032835.6
11596	ENSMUSP00000134401.2
11596	ENSMUSP00000134579.2
11596	-
11596	ENSMUSP00000015596.4
11596	-
11596	-
11596	-
11600	ENSMUSP00000022921.6
11601	ENSMUSP00000033846.6
11602	ENSMUSP00000028955.6
11603	ENSMUSP00000101200.3
11603	ENSMUSP00000137931.2
11604	ENSMUSP00000141783.2
11604	ENSMUSP00000005849.6
11605	ENSMUSP00000159121.2
11606	ENSMUSP00000159140.2
11607	ENSMUSP00000070958.8
11608	ENSMUSP00000068298.8
11609	ENSMUSP00000086592.3
11610	ENSMUSP00000030865.9
11611	ENSMUSP00000027491.6
11614	ENSMUSP00000026036.5
11615	ENSMUSP00000127198.2
11622	ENSMUSP00000112137.3
11624	ENSMUSP00000105268.2
11624	ENSMUSP00000022059.8
11625	ENSMUSP00000023583.6
11625	-
11628	ENSMUSP00000040524.8
11629	-
11629	ENSMUSP00000134214.2
11629	ENSMUSP00000133709.2
11630	ENSMUSP00000143429.2
11630	ENSMUSP00000020017.9
11632	ENSMUSP00000025767.8
11632	ENSMUSP00000113807.2
11634	ENSMUSP00000019257.9
11634	ENSMUSP00000120150.2
11634	ENSMUSP00000122659.2
11634	ENSMUSP00000117094.2
11634	ENSMUSP00000101035.3
11634	ENSMUSP00000122190.2
11634	ENSMUSP00000101034.3
11634	ENSMUSP00000115162.2
11634	ENSMUSP00000118317.2
11634	ENSMUSP00000121477.2
11634	ENSMUSP00000114904.2
11634	-
11636	ENSMUSP00000108903.3
11636	ENSMUSP00000108902.2
11636	ENSMUSP00000068479.5
11637	ENSMUSP00000030583.7
11637	ENSMUSP00000099664.5
11639	ENSMUSP00000102559.2
11639	ENSMUSP00000102558.2
11639	ENSMUSP00000099841.2
11639	ENSMUSP00000121112.2
11640	ENSMUSP00000018572.5
11640	ENSMUSP00000103536.2
11640	-
11642	ENSMUSP00000093091.6
11643	ENSMUSP00000111417.2
11643	ENSMUSP00000050962.7
11647	ENSMUSP00000030551.5
11648	ENSMUSP00000037497.4
11650	ENSMUSP00000027455.7
11651	ENSMUSP00000122222.3
11651	ENSMUSP00000001780.4
11652	ENSMUSP00000103981.3
11652	ENSMUSP00000052103.6
11652	ENSMUSP00000103980.2
11652	ENSMUSP00000083081.5
11655	ENSMUSP00000108143.3
11655	ENSMUSP00000117014.2
11656	ENSMUSP00000108335.2
11656	ENSMUSP00000066040.7
11657	ENSMUSP00000031314.9
11658	ENSMUSP00000129714.2
11658	ENSMUSP00000023312.8
11666	ENSMUSP00000002084.8
11668	ENSMUSP00000153410.3
11668	ENSMUSP00000084918.4
11669	ENSMUSP00000142906.2
11669	ENSMUSP00000031411.9
