"logFC","logCPM","LR","PValue","FDR","gene_id","entrez_id"
8.8514370843601,5.31004196173221,1302.66298754124,2.9820686555042e-285,4.89387287054795e-281,"NR_028061_5_-_1","667410"
-7.79544408043701,5.22273999141966,1161.41976635916,1.47902144392844e-254,1.21361104581548e-250,"NM_023835_7_-_1","76681"
6.02447190110435,1.84381120730828,935.079735177951,2.32310031653541e-205,1.27081330982209e-201,"NR_002889_14_-_1","545056"
9.23534411449337,1.53191875595975,810.564735681323,2.72342922132029e-178,1.11735492377718e-174,"NR_015554_5_-_1","433855"
14.3523340801904,7.04629234499488,701.014430994645,1.79932533768118e-154,5.90574562333716e-151,"NR_003364_11_+_1","193217"
9.70562194101406,4.08868105962585,683.651457311583,1.07364822648545e-150,2.93660684080879e-147,"NM_145078_4_-_1","112422"
-4.79550533604195,3.41540306822836,668.335000850869,2.29982128892203e-147,5.3917667389285e-144,"NM_016661_2_-_1","269378"
8.02748388228154,2.117419970389,662.830294475119,3.62089943567655e-146,7.42782257986097e-143,"NM_001014397_4_+_1","433804"
-4.94245948248767,6.69483174446971,641.422799840685,1.63871011731124e-141,2.98809685946608e-138,"NM_025387_13_+_1","66154"
4.99263303865154,3.66225014485822,598.0512006766,4.44303292453685e-132,7.29146133245743e-129,"NM_001304528_16_-_1","11615"
-13.4194027971374,5.35181667731154,566.308234695195,3.56762665554086e-125,5.322574640371e-122,"NR_002445_4_-_1","170658"
-2.64065893371038,4.0791147169083,545.502493714728,1.19780943175002e-120,1.6381042153708e-117,"NM_025343_10_-_1","66084"
-12.7920033056737,4.91100764101977,545.185131831724,1.40419652828226e-120,1.77263609428001e-117,"NM_001025388_4_+_1","433182"
-7.4601535807785,1.92581163515258,537.28045412178,7.36320205370387e-119,8.63125063595244e-116,"NM_001243067_dup1_10_+_2","73610"
-5.93842510506201,6.97253615222195,503.746264181992,1.45500619796848e-111,1.59187378099072e-108,"NM_030255_15_+_1","80287"
-7.84955558640035,1.21343781216412,493.766246583955,2.15936518990251e-109,2.21483388321813e-106,"NR_040749_7_+_1","622070"
